trial,network,nodes,edges,probability,distribution,task,proportion,peak,power,srd,samples,steps,time,strategy,init_max_performance,p0,p500,s0,s500
10,FC,100,4950,0.1,ND,Ackley,50,31,8,1,4,500,7.11,Random,1.0,0.0801,0.5301,11,6
1,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,11.08,Best,1.0,0.2215,0.7835,11,7
1,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,6.63,Conformity,1.0,0.2215,0.7835,11,7
1,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,11.8,Random,1.0,0.2215,0.7835,11,7
2,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,9.38,Best,1.0,0.2427,0.7883,11,7
2,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,15.11,Conformity,1.0,0.2427,0.7893,11,6
2,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,15.8,Random,1.0,0.2427,0.7893,11,6
3,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,6.84,Best,1.0,0.2709,0.7859,11,6
3,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,10.0,Conformity,1.0,0.2709,0.7859,11,6
3,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,15.43,Random,1.0,0.2709,0.7859,11,6
4,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,8.36,Best,1.0,0.2567,0.7841,11,6
4,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,5.6,Conformity,1.0,0.2567,0.7841,11,6
4,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,7.02,Random,1.0,0.2567,0.7841,11,6
5,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,5.96,Best,1.0,0.2242,0.7694,11,8
5,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,5.74,Conformity,1.0,0.2242,0.7704,11,7
5,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,6.98,Random,1.0,0.2242,0.7704,11,7
6,FC,100,4950,0.1,ND,Rastrigin,50,31,8,1,4,500,5.48,Best,1.0,0.2654,0.7916,11,4
